rep,reallocation,n_completed,n_withdrawn,n_active_at_end,X_total,total_mw,first_wd_month
229,True,5,1,0,79645134.80402116,551.8,1
230,True,6,0,0,24244293.39840817,148.89000000000001,-1
231,True,0,6,0,23666601.66823502,231.0,0
232,True,6,0,0,91816874.480554,482.5,-1
233,True,5,1,0,92125177.17840518,307.2,2
234,True,0,6,0,24839654.09055753,237.75,0
235,True,0,6,0,122489782.10401686,1549.9,0
236,True,0,6,0,157411960.5865573,365.76,0
237,True,2,4,0,153537682.74377754,377.0,0
238,True,0,6,0,353824037.363242,936.0,0
239,True,0,6,0,395849456.0569667,728.38,0
240,True,0,6,0,90637468.35649207,1033.2,0
241,True,0,6,0,409467761.15044713,754.0,0
242,True,0,6,0,103286372.63670889,703.36,0
243,True,6,0,0,17103603.422062743,117.8,-1
244,True,0,6,0,83619541.34560785,791.81,0
245,True,0,6,0,440424730.94532394,1227.4,0
246,True,4,2,0,34475586.89302699,341.9,1
247,True,1,5,0,153221167.20350325,810.3,0
248,True,5,1,0,44974726.66484955,547.2,0
249,True,4,2,0,40289738.51791929,251.998,3
250,True,0,6,0,186241998.39544582,382.8,0
251,True,0,6,0,235447006.5397224,572.0,0
252,True,0,6,0,533426248.27223784,982.7,0
253,True,6,0,0,73644977.45278873,358.0,-1
254,True,0,6,0,76088025.93134752,145.25,0
255,True,0,6,0,511729914.6113914,990.4,0
256,True,0,6,0,148892164.09319746,553.9,0
257,True,0,6,0,447800839.3373382,1532.9,0
258,True,1,5,0,153736098.99310505,971.4,0
259,True,0,6,0,740665493.6760262,1784.0,0
260,True,0,6,0,252136280.6811149,830.0,0
261,True,5,1,0,24492498.221924465,289.44,1
262,True,5,1,0,33092757.165441953,344.6,20
263,True,0,6,0,80101987.41109864,587.5,0
264,True,0,6,0,114050394.81133744,372.09999999999997,0
265,True,2,4,0,33964879.26188365,409.3,1
266,True,0,6,0,47419699.26338386,447.8,0
267,True,0,6,0,90054079.47642551,160.8,0
268,True,0,6,0,356775980.34130543,643.7,0
269,True,6,0,0,36475478.65209028,250.0,-1
270,True,6,0,0,27853529.12098789,241.3,-1
271,True,3,3,0,83255517.1723963,1136.0,1
272,True,0,6,0,110318354.79885559,344.1,0
273,True,5,1,0,43005292.85784375,315.0,0
274,True,0,6,0,43951483.30138254,293.4,0
