rep,reallocation,n_completed,n_withdrawn,n_active_at_end,X_total,total_mw,first_wd_month
105,False,6,0,0,29002452.882615257,331.78,-1
106,False,0,6,0,62502695.51438825,130.25,0
107,False,3,3,0,457118084.0899977,1538.0,0
108,False,2,4,0,469598267.4157281,2013.5,0
109,False,1,5,0,67428128.09168202,608.4,0
110,False,3,3,0,310712903.5031411,1821.0,0
111,False,0,6,0,97878306.55345124,1099.9,0
112,False,5,1,0,82866893.5426948,350.7,0
113,False,3,3,0,128317120.85666735,311.38,0
114,False,6,0,0,66272799.25376984,120.0,-1
115,False,3,3,0,88514497.39179637,224.68,0
116,False,5,1,0,91495663.95315088,431.2,0
117,False,1,5,0,286706298.54665333,595.6,0
118,False,4,2,0,213010703.5368521,1180.74,0
119,False,6,0,0,103333970.75487162,849.6,-1
120,False,0,6,0,154063464.34107298,393.0,0
121,False,3,3,0,159709025.94920227,1529.8,0
122,False,3,3,0,209074299.99204227,574.9,0
123,False,6,0,0,10367969.709198518,120.91999999999999,-1
124,False,0,6,0,394574615.752995,1907.6,0
125,False,0,6,0,94238775.38927129,189.2,0
126,False,6,0,0,16162264.310353862,180.4,-1
127,False,3,3,0,130706443.05153923,792.0,0
128,False,0,6,0,180714680.36437693,1108.1,0
129,False,6,0,0,55236844.17075669,228.2,-1
130,False,3,3,0,208239201.9760521,977.15,0
131,False,5,1,0,126574312.03833613,855.4,0
132,False,2,4,0,227856958.95510575,446.418,0
133,False,2,4,0,270535770.69884723,735.68,0
134,False,3,3,0,232878785.02435863,1255.9,0
135,False,0,6,0,105489503.42756118,197.0,0
136,False,4,2,0,332837078.81037176,707.0,0
137,False,0,6,0,288382648.0380582,885.0,0
138,False,5,1,0,51731421.857344225,524.6999999999999,1
139,False,3,3,0,169561977.18300748,1230.0,0
140,False,1,5,0,57216373.91208865,164.6,0
141,False,2,4,0,133630210.833767,441.0,0
142,False,3,3,0,35424937.33656682,319.70000000000005,0
143,False,0,6,0,37285772.57141011,250.2,0
144,False,4,2,0,52080845.177318215,555.0,0
145,False,0,6,0,153901890.59228674,730.6,0
146,False,6,0,0,17888695.323587943,247.85000000000002,-1
147,False,4,2,0,298513003.0564107,787.145,0
148,False,0,6,0,104515117.95599598,192.6,0
149,False,4,2,0,56618968.226279214,257.56,1
