project_id,poi_id,mw,t_entry,t_cod,t_exit,status,H_base,U_final,poi_mu,poi_c_per_kw
562,267,58.0,54,78,78.0,completed,57704661.23492073,9235281.644507904,63126098.04270063,159.22899387082595
563,266,3.88,54,81,81.0,completed,39942274.11058065,350055.6180973814,37737133.98617719,90.22052012819108
564,187,19.1,55,139,76.0,withdrawn,68294932.05452229,50579915.8956137,71934840.85425088,151.59523608377
565,32,16.2,55,126,126.0,completed,31355548.381618824,8736574.0100378,35664633.53315247,539.2946919776421
566,286,4.8,55,92,92.0,completed,20127776.987006966,961199.5720132642,19592672.7951973,200.24991083609672
567,224,20.0,55,81,81.0,completed,56575533.30947245,2757338.192075863,51366488.21119465,137.86690960379315
568,173,300.0,55,79,55.0,withdrawn,39966976.153203696,152307779.51086882,39431534.173721395,507.69259836956275
569,388,7.0,55,107,69.0,withdrawn,35916467.8367639,52714277.99683906,30654057.49763459,492.6568037087763
570,129,70.0,55,145,145.0,completed,40256419.168160394,21439110.191513658,41752385.85493217,109.15612208234835
571,161,3.0,55,81,81.0,completed,46197463.865935005,550138.1534927925,44423694.642384306,183.37938449759753
572,288,13.0,55,79,74.0,withdrawn,24844653.176049307,21942035.43862417,19436496.183361173,274.27544298280213
573,195,955.0,55,99,55.0,withdrawn,-876984.0196637335,258905373.7740105,-245485.72369525788,271.10510342828326
574,254,300.0,55,145,55.0,withdrawn,79736849.07238214,71664717.97704777,79632959.8556182,238.8823932568259
575,391,99.0,55,79,79.0,completed,44815525.523637675,23640052.37972148,46313460.4744898,238.78840787597454
576,369,40.0,56,162,162.0,completed,32962344.84128455,6757636.794771393,34676530.7974103,168.9409198692848
577,118,400.0,56,95,56.0,withdrawn,33664771.26451816,78432765.93670908,34443805.12876973,196.08191484177271
578,312,20.0,56,80,59.0,withdrawn,14432701.883107878,1732614.6693150625,17128085.952562258,86.63073346575312
579,126,100.0,56,111,56.0,withdrawn,-15761118.937709665,51100889.630735636,-11949719.149147695,511.00889630735634
580,243,45.0,56,109,109.0,completed,70961255.98097846,18315931.32225307,72911002.51473509,407.02069605006824
581,270,20.0,56,114,114.0,completed,32518869.164992888,1953170.2611376839,30230988.491636284,97.65851305688419
582,79,7.99,56,137,137.0,completed,53725631.78435601,1782374.2878804002,54895966.38049435,223.07563052320404
583,150,30.0,56,87,87.0,completed,84508801.01337144,7733043.8189660525,82823870.19329381,257.7681272988684
584,60,2.0,56,80,80.0,completed,32792069.7198842,374551.922563818,33761029.06121043,187.275961281909
585,189,302.0,56,110,56.0,withdrawn,49000290.94769932,49407074.46532733,46555312.225265615,163.59958432227592
586,368,130.0,56,149,62.0,withdrawn,45197486.13287058,91736708.85907085,43537717.138420075,121.68286093523126
587,67,20.0,57,116,70.0,withdrawn,71418627.39394435,59150379.44606579,71233620.03090759,89.28904982074158
588,187,83.2836,57,103,58.0,withdrawn,76167475.65955032,52447561.22846517,71934840.85425088,151.59523608377
589,130,29.15,57,106,106.0,completed,47982087.99920783,3496014.1081017596,45299289.55316885,119.93187334825934
590,52,55.0,57,113,100.0,withdrawn,53636769.98138337,113694434.8695634,54362367.59663428,117.57438973067569
591,374,100.0,57,100,57.0,withdrawn,-17813689.762855913,12436048.983332463,-20354684.276075073,124.36048983332464
592,57,60.0,57,81,81.0,completed,31252877.979192726,6473472.893775957,37435335.32394455,107.89121489626594
593,289,74.0,57,172,57.0,withdrawn,12462461.127831528,40981126.0712104,8207466.828456392,553.7990009623027
594,30,100.0,57,116,57.0,withdrawn,43264006.80691928,33108614.81903991,43175246.71973287,331.0861481903991
595,196,100.0,57,120,120.0,completed,59760550.555023916,14425397.281938165,64563268.54381643,144.25397281938166
596,156,3.0,58,97,61.0,withdrawn,25135081.60880314,55510115.05307731,25554836.6810432,266.61918853543375
597,341,38.5,58,82,82.0,completed,29584987.22344318,3496626.2547170394,29083529.38370249,90.82146116148155
598,86,30.8,58,126,126.0,completed,41331547.94850968,31364728.150748134,39242663.6285703,98.95071679828429
599,33,20.0,58,88,88.0,completed,49049612.650296606,3100528.41335379,49263425.903462134,155.0264206676895
600,337,1.91,58,106,106.0,completed,53406847.65677516,290489.0129455933,55998065.12831995,152.08848845319022
601,339,4.0,58,107,107.0,completed,29127941.073072452,437223.4758080341,32376046.099995684,109.30586895200854
602,105,20.0,58,83,83.0,completed,28347834.215278484,2359595.1084666983,26311914.69516202,117.97975542333494
603,86,8.0,58,129,129.0,completed,31635709.5224393,791605.7343862744,39242663.6285703,98.95071679828429
604,279,50.0,58,97,97.0,completed,49961245.991564974,22178333.544764493,43248588.46643161,443.56667089528986
605,66,4.5,58,118,118.0,completed,73951428.2591934,891364.1362479407,73424141.34794112,198.08091916620904
606,238,4.0,58,82,61.0,withdrawn,-1116715.3901367083,1051541.6217173974,232864.25061859406,262.88540542934936
607,272,44.0,58,135,135.0,completed,88464308.00454561,11270624.370363541,87399968.75563598,256.15055387189864
608,339,56.0,59,134,134.0,completed,32945149.704907246,6121128.661312479,32376046.099995684,109.30586895200854
609,124,33.0,59,83,59.0,withdrawn,29656299.095995426,16829952.47107865,31904767.64175851,509.99855972965605
