scale,regime,seed,total_wd,evaporated_U
0.3,W12_both,123,4605,34629874322.40356
0.3,W12_both,124,4614,34842117986.66647
0.3,W12_both,125,4704,38426306074.86261
0.3,W12_both,126,4566,35901709577.007744
0.3,W12_both,127,4761,36895380078.2393
0.3,W12_both,128,4528,38664344901.98246
0.3,W12_both,129,4711,37871023304.01523
0.5,OFF,100,4332,0.0
0.5,OFF,101,4313,0.0
0.5,OFF,102,4309,0.0
0.5,OFF,103,4524,0.0
0.5,OFF,104,4474,0.0
0.5,OFF,105,4371,0.0
0.5,OFF,106,4351,0.0
0.5,OFF,107,4521,0.0
0.5,OFF,108,4466,0.0
0.5,OFF,109,4439,0.0
0.5,OFF,110,4441,0.0
0.5,OFF,111,4382,0.0
0.5,OFF,112,4370,0.0
0.5,OFF,113,4452,0.0
0.5,OFF,114,4475,0.0
0.5,OFF,115,4400,0.0
0.5,OFF,116,4443,0.0
0.5,OFF,117,4492,0.0
0.5,OFF,118,4317,0.0
0.5,OFF,119,4257,0.0
0.5,OFF,120,4314,0.0
0.5,OFF,121,4351,0.0
0.5,OFF,122,4330,0.0
0.5,OFF,123,4391,0.0
0.5,OFF,124,4406,0.0
0.5,OFF,125,4575,0.0
0.5,OFF,126,4490,0.0
0.5,OFF,127,4484,0.0
0.5,OFF,128,4328,0.0
0.5,OFF,129,4418,0.0
0.5,ON_unbounded,100,4732,36713512288.568146
0.5,ON_unbounded,101,4771,37440892305.158554
0.5,ON_unbounded,102,4783,37863034294.322075
0.5,ON_unbounded,103,4897,36584449338.59901
0.5,ON_unbounded,104,4715,34409121772.25726
0.5,ON_unbounded,105,4770,37715561026.59858
0.5,ON_unbounded,106,4734,34981785567.31378
0.5,ON_unbounded,107,4871,36045628922.54124
0.5,ON_unbounded,108,4838,39980040895.33458
0.5,ON_unbounded,109,4614,32442528633.46393
0.5,ON_unbounded,110,4723,36405425019.642334
0.5,ON_unbounded,111,4860,39791841802.09289
0.5,ON_unbounded,112,4681,36194188349.3136
0.5,ON_unbounded,113,4656,32827576800.0373
0.5,ON_unbounded,114,4892,35230484072.67097
0.5,ON_unbounded,115,4756,36751789005.82988
0.5,ON_unbounded,116,4701,34963024396.197365
0.5,ON_unbounded,117,4736,37050410695.71652
0.5,ON_unbounded,118,4805,37966151654.19501
0.5,ON_unbounded,119,4793,34729254613.141655
0.5,ON_unbounded,120,4691,35549320278.61186
0.5,ON_unbounded,121,4671,35336247314.457245
0.5,ON_unbounded,122,4633,35972857376.59984
0.5,ON_unbounded,123,4772,35014476988.70371
0.5,ON_unbounded,124,4744,35995229831.69583
0.5,ON_unbounded,125,4790,36332201836.95342
0.5,ON_unbounded,126,4881,35111514650.13339
0.5,ON_unbounded,127,4949,38530146567.73188
0.5,ON_unbounded,128,4688,35572724972.41677
0.5,ON_unbounded,129,4741,36726133927.55544
0.5,W12_both,100,4533,34895940975.53996
0.5,W12_both,101,4763,38877720028.127785
0.5,W12_both,102,4664,37901823432.76819
0.5,W12_both,103,4607,33413858359.58026
0.5,W12_both,104,4845,36707766558.92519
0.5,W12_both,105,4611,36378901834.30476
0.5,W12_both,106,4610,34552969183.080956
0.5,W12_both,107,4672,36641980309.38689
0.5,W12_both,108,4684,36772805303.167564
0.5,W12_both,109,4625,34624364234.72
0.5,W12_both,110,4664,38493856886.00686
0.5,W12_both,111,4589,36065549812.374985
0.5,W12_both,112,4635,36115380835.09746
0.5,W12_both,113,4465,33846178739.460155
0.5,W12_both,114,4509,32680071467.47513
0.5,W12_both,115,4715,35698530246.229774
0.5,W12_both,116,4603,35782762042.17723
0.5,W12_both,117,4588,37362115655.58803
0.5,W12_both,118,4717,37589962238.45286
0.5,W12_both,119,4636,34379943901.35946
0.5,W12_both,120,4639,35539276611.61012
0.5,W12_both,121,4616,35791835380.35533
0.5,W12_both,122,4699,37690474143.86711
0.5,W12_both,123,4575,34421881736.28174
0.5,W12_both,124,4757,37114981692.55968
0.5,W12_both,125,4565,35472830667.07311
0.5,W12_both,126,4569,36240387910.827576
0.5,W12_both,127,4730,37072542514.34973
0.5,W12_both,128,4656,36241479356.75575
0.5,W12_both,129,4647,35995632274.05167
1.0,OFF,100,4332,0.0
1.0,OFF,101,4313,0.0
1.0,OFF,102,4309,0.0
1.0,OFF,103,4524,0.0
1.0,OFF,104,4474,0.0
1.0,OFF,105,4371,0.0
1.0,OFF,106,4351,0.0
1.0,OFF,107,4521,0.0
1.0,OFF,108,4466,0.0
1.0,OFF,109,4439,0.0
1.0,OFF,110,4441,0.0
1.0,OFF,111,4382,0.0
1.0,OFF,112,4370,0.0
1.0,OFF,113,4452,0.0
1.0,OFF,114,4475,0.0
1.0,OFF,115,4400,0.0
1.0,OFF,116,4443,0.0
1.0,OFF,117,4492,0.0
1.0,OFF,118,4317,0.0
1.0,OFF,119,4257,0.0
1.0,OFF,120,4314,0.0
1.0,OFF,121,4351,0.0
1.0,OFF,122,4330,0.0
1.0,OFF,123,4391,0.0
1.0,OFF,124,4406,0.0
1.0,OFF,125,4575,0.0
1.0,OFF,126,4490,0.0
1.0,OFF,127,4484,0.0
1.0,OFF,128,4328,0.0
1.0,OFF,129,4418,0.0
1.0,ON_unbounded,100,4823,36953228281.95998
1.0,ON_unbounded,101,4730,35942858051.15235
1.0,ON_unbounded,102,4872,37820304029.87933
1.0,ON_unbounded,103,4741,37426568526.50825
1.0,ON_unbounded,104,4785,36565793302.28004
1.0,ON_unbounded,105,4795,37362362788.98904
1.0,ON_unbounded,106,4764,34082993708.3196
1.0,ON_unbounded,107,4863,35312339171.903404
1.0,ON_unbounded,108,4643,35039109593.97919
1.0,ON_unbounded,109,4778,37282711680.57824
1.0,ON_unbounded,110,4896,36502982794.24758
1.0,ON_unbounded,111,4801,36602948050.59234
1.0,ON_unbounded,112,4782,35937773320.94996
1.0,ON_unbounded,113,4772,35538220459.326546
1.0,ON_unbounded,114,4701,35519187889.68324
1.0,ON_unbounded,115,4656,35930063024.407425
1.0,ON_unbounded,116,4620,32673326253.07685
1.0,ON_unbounded,117,4813,36857668136.4872
1.0,ON_unbounded,118,4742,37047349872.27293
1.0,ON_unbounded,119,4682,34144914356.123344
1.0,ON_unbounded,120,4654,35274986417.97222
1.0,ON_unbounded,121,4563,35529302727.22444
1.0,ON_unbounded,122,4725,36922595428.462166
1.0,ON_unbounded,123,4692,32692760693.569115
1.0,ON_unbounded,124,4704,33330217396.8869
1.0,ON_unbounded,125,4759,34863077524.61569
1.0,ON_unbounded,126,4863,37266710860.45422
1.0,ON_unbounded,127,4708,36400563767.57578
1.0,ON_unbounded,128,4719,36492955648.11581
1.0,ON_unbounded,129,4751,35649355592.514885
1.0,W12_both,100,4659,36683611763.5577
1.0,W12_both,101,4632,35765715710.92776
1.0,W12_both,102,4625,37757107267.29538
1.0,W12_both,103,4690,36153969169.60478
1.0,W12_both,104,4809,36137573336.59367
1.0,W12_both,105,4767,37275797766.239815
1.0,W12_both,106,4658,35310113843.676735
1.0,W12_both,107,4575,35141294747.59788
1.0,W12_both,108,4569,35016228551.11016
1.0,W12_both,109,4677,36139195685.82496
1.0,W12_both,110,4662,36445428556.919205
1.0,W12_both,111,4718,35808037323.17176
1.0,W12_both,112,4570,34871723473.76694
1.0,W12_both,113,4543,34713638055.43898
1.0,W12_both,114,4652,35339802099.02308
1.0,W12_both,115,4728,36823849021.0152
1.0,W12_both,116,4677,34914418852.6188
1.0,W12_both,117,4702,36908952150.55083
1.0,W12_both,118,4522,38550284597.44715
1.0,W12_both,119,4712,36765556474.40379
1.0,W12_both,120,4711,37776617055.0352
1.0,W12_both,121,4648,34877776480.935074
1.0,W12_both,122,4740,38138261134.5916
1.0,W12_both,123,4569,34306835898.228893
1.0,W12_both,124,4689,36984355256.62976
1.0,W12_both,125,4808,38498134790.29803
1.0,W12_both,126,4703,37302405562.76494
1.0,W12_both,127,4720,37367737879.83816
1.0,W12_both,128,4576,35766528048.83106
1.0,W12_both,129,4720,36504066007.11289
5.0,OFF,100,4332,0.0
5.0,OFF,101,4313,0.0
5.0,OFF,102,4309,0.0
5.0,OFF,103,4524,0.0
5.0,OFF,104,4474,0.0
5.0,OFF,105,4371,0.0
5.0,OFF,106,4351,0.0
5.0,OFF,107,4521,0.0
5.0,OFF,108,4466,0.0
5.0,OFF,109,4439,0.0
5.0,OFF,110,4441,0.0
5.0,OFF,111,4382,0.0
5.0,OFF,112,4370,0.0
5.0,OFF,113,4452,0.0
5.0,OFF,114,4475,0.0
5.0,OFF,115,4400,0.0
5.0,OFF,116,4443,0.0
5.0,OFF,117,4492,0.0
5.0,OFF,118,4317,0.0
5.0,OFF,119,4257,0.0
5.0,OFF,120,4314,0.0
5.0,OFF,121,4351,0.0
5.0,OFF,122,4330,0.0
5.0,OFF,123,4391,0.0
5.0,OFF,124,4406,0.0
5.0,OFF,125,4575,0.0
5.0,OFF,126,4490,0.0
5.0,OFF,127,4484,0.0
5.0,OFF,128,4328,0.0
5.0,OFF,129,4418,0.0
5.0,ON_unbounded,100,4764,36482543819.42327
5.0,ON_unbounded,101,4890,38387853026.21195
5.0,ON_unbounded,102,4865,38480743985.77216
5.0,ON_unbounded,103,4947,35873170200.96483
5.0,ON_unbounded,104,4753,34387689063.82092
5.0,ON_unbounded,105,4717,35931628250.00473
5.0,ON_unbounded,106,4858,36142028449.58483
5.0,ON_unbounded,107,4874,36607442347.042984
5.0,ON_unbounded,108,4815,35334033642.923965
5.0,ON_unbounded,109,4653,32393042747.941387
5.0,ON_unbounded,110,4719,35485021100.39577
5.0,ON_unbounded,111,4761,37922172799.74494
5.0,ON_unbounded,112,4839,36174185409.3193
5.0,ON_unbounded,113,4775,35903915290.09813
5.0,ON_unbounded,114,4691,34094604781.6878
5.0,ON_unbounded,115,4799,36945595465.30046
5.0,ON_unbounded,116,4850,37766386008.8966
5.0,ON_unbounded,117,4856,38009908617.95563
5.0,ON_unbounded,118,4716,36019473605.24106
5.0,ON_unbounded,119,4724,34573489470.872574
5.0,ON_unbounded,120,4820,36111739440.864716
5.0,ON_unbounded,121,4687,33271305073.78668
5.0,ON_unbounded,122,4756,37768674034.46803
5.0,ON_unbounded,123,4680,33903169586.0071
5.0,ON_unbounded,124,4786,36163840457.22893
5.0,ON_unbounded,125,4742,36135405689.50797
5.0,ON_unbounded,126,4828,38762533663.64123
5.0,ON_unbounded,127,4862,36935435756.29838
5.0,ON_unbounded,128,4780,36022692094.49115
5.0,ON_unbounded,129,4728,35507994882.71003
5.0,W12_both,100,4655,36054765146.782745
5.0,W12_both,101,4675,39213425001.48528
5.0,W12_both,102,4586,36218563847.37236
5.0,W12_both,103,4703,36223179083.8385
5.0,W12_both,104,4759,36506911531.791855
5.0,W12_both,105,4548,35380691032.15793
5.0,W12_both,106,4754,36354643534.598434
5.0,W12_both,107,4717,36615802954.96766
5.0,W12_both,108,4711,36618332969.77819
5.0,W12_both,109,4576,35561979194.71189
5.0,W12_both,110,4668,37074974514.128975
5.0,W12_both,111,4647,35834963503.278244
5.0,W12_both,112,4661,35542768681.33854
5.0,W12_both,113,4636,36000800630.13797
5.0,W12_both,114,4635,35326128700.30522
5.0,W12_both,115,4680,35423181033.0746
5.0,W12_both,116,4597,34325445197.245937
5.0,W12_both,117,4571,36488147657.40157
5.0,W12_both,118,4644,38244512284.549576
5.0,W12_both,119,4668,36694770574.48251
5.0,W12_both,120,4647,35939477703.51082
5.0,W12_both,121,4631,34893418338.56342
5.0,W12_both,122,4561,35522179132.011536
5.0,W12_both,123,4602,32667279572.06764
5.0,W12_both,124,4532,36377867179.14799
5.0,W12_both,125,4674,37766569933.9068
5.0,W12_both,126,4673,37523606702.232864
5.0,W12_both,127,4760,37036211726.10908
5.0,W12_both,128,4604,37969388564.11263
5.0,W12_both,129,4746,38702589634.06641
