rho,seed,n_pairs,did,pre_trend_p,k-4,k-3,k-2,k-1,k0,k1,k2,k3,k4,k5,k6,k7,k8,peak_beta,peak_k
0.85,108,389,-0.05912596401028278,0.7153767570364193,0.012853470437016958,0.0025706940874025133,-1.4424225702747151e-15,0.0,-8.388472208520348e-16,-0.1413881748071896,0.005141388174805793,0.06426735218508865,0.02827763496143733,0.046272493573262394,0.01799485861182281,0.038560411311050306,0.03084832904884096,0.046272493573262394,5
0.85,109,420,-0.04047619047619048,0.9712430441986031,-0.002380952380949256,-0.004761904761900391,2.2709698704881376e-15,0.0,2.259043646590797e-15,-0.07380952380952639,-0.040476190476184865,0.01666666666666956,0.05000000000000366,0.050000000000002556,0.026190476190479067,0.04047619047619294,0.016666666666669543,0.05000000000000366,4
0.85,110,385,-0.09090909090909091,0.5128328203283503,0.015584415584418587,-7.806255641895632e-18,7.476658181460039e-16,0.0,1.7891504250355794e-15,-0.14025974025973514,0.012987012987011912,0.03896103896104039,0.012987012987014154,0.036363636363637646,0.023376623376624155,0.049350649350650574,0.03116883116883281,0.049350649350650574,7
0.85,111,400,-0.05,0.5179385081146504,0.007500000000000811,0.010000000000000411,-1.0050554138940626e-15,0.0,-1.0213184464813452e-15,-0.06500000000000612,0.0024999999999990377,0.0024999999999989787,0.027500000000000527,0.012500000000000608,0.04000000000000056,0.0275000000000006,0.022500000000000575,0.04000000000000056,6
0.85,112,411,-0.09245742092457421,0.6997846118076583,-0.012165450121654472,-0.002433090024329203,1.7415539496634658e-15,0.0,-5.311506443006486e-16,-0.10705596107055201,-0.009732360097324765,0.01459854014598631,-0.004866180048661841,0.019464720194647688,0.07055961070559666,0.012165450121654518,0.03892944038929434,0.07055961070559666,6
0.85,113,397,-0.04534005037783375,0.2652667989251394,-0.007556675062973707,0.01763224181360204,-7.250059927410568e-16,0.0,3.0661237437890065e-16,-0.14357682619646375,0.015113350125940981,0.05541561712846322,0.03778337531485973,0.012594458438286223,0.05289672544080472,0.015113350125943174,0.04282115869017507,0.05289672544080472,6
0.85,114,386,-0.09326424870466321,0.5882925728816031,0.012953367875647747,0.0077720207253895845,8.409072049797572e-16,0.0,3.178880769727499e-16,-0.10621761658030363,0.010362694300516007,0.015544041450778139,0.007772020725390738,0.044041450777201965,0.023316062176166302,0.04145077720207278,0.05958549222797933,0.05958549222797933,8
0.9,105,391,-0.058823529411764705,0.952047651355177,-0.002557544757035673,-0.005115089514066868,-1.1258355359089478e-15,0.0,-3.634245682171411e-16,-0.1355498721227634,-0.017902813299229572,0.04347826086956581,0.04347826086956443,0.04347826086956353,0.020460358056265567,0.05370843989769846,0.03580562659846452,0.05370843989769846,7
0.9,106,409,0.014669926650366748,0.8657688944030125,0.004889975550122269,0.004889975550122733,3.9898639947466563e-17,0.0,5.620504062164855e-16,-0.046454767726157364,-0.012224938875303386,0.046454767726162485,0.03667481662591714,0.026894865525672215,0.026894865525672024,0.04645476772616129,-2.2551405187698492e-17,0.04645476772616129,7
0.9,107,365,-0.09315068493150686,0.17162559149659048,0.024657534246575172,0.005479452054793902,-3.5648567431323386e-16,0.0,-2.5717275531356165e-16,-0.06575342465753355,-0.030136986301371484,-0.013698630136985938,0.046575342465753886,0.02191780821917795,0.027397260273971512,0.06027397260273919,0.024657534246574367,0.06027397260273919,7
