project_id,poi_id,mw,t_entry,t_cod,t_exit,status,H_base,U_final,poi_mu,poi_c_per_kw
1443,246,200.0,146,194,146.0,withdrawn,26020835.89612707,69169619.22907136,26861374.712011706,345.84809614535686
1444,201,200.0,146,170,146.0,withdrawn,56796607.00324199,56562511.98420474,52366765.29071022,282.8125599210237
1445,97,112.0,146,193,146.0,withdrawn,-17459455.149300475,10208823.353639117,-17110053.87471186,91.15020851463497
1446,172,52.2,146,193,,active,47538986.50534998,9864608.661153235,48901881.84557877,188.9771774167286
1447,174,46.0,146,190,,active,44372560.32301775,6640510.067513855,42280785.421184495,144.35891451117078
1448,110,578.0,147,218,147.0,withdrawn,35239655.79187101,123183752.21300751,49136510.47922733,213.12067856921715
1449,276,20.0,147,171,171.0,completed,44662021.83100136,1889655.4232058956,46249458.533663705,94.48277116029479
1450,35,20.0,147,171,171.0,completed,73506738.30048706,8921475.489365786,73797003.00306222,446.07377446828934
1451,33,20.0,147,228,,active,47424418.326209895,3100528.41335379,49263425.903462134,155.0264206676895
1452,380,150.0,147,171,154.0,withdrawn,32445614.383064236,10673565.652332839,32015845.01807808,71.15710434888558
1453,335,9.0,148,178,178.0,completed,81038862.99187566,3021186.827117646,72909216.16813341,335.68742523529403
1454,336,19.9,148,175,175.0,completed,29996083.685547315,3698065.600559705,28477504.42497875,185.83244223918115
1455,222,5.0,148,207,,active,55133591.69304583,602050.9867763834,55610676.55962449,120.41019735527668
1456,123,20.0,148,172,148.0,withdrawn,-2833445.873758998,1842008.2452740995,-4722439.104468127,92.10041226370498
1457,227,150.0,148,174,148.0,withdrawn,14386399.86702466,44027144.32404573,11775270.82173551,293.5142954936382
1458,225,80.0,148,172,148.0,withdrawn,54947745.45761247,42867863.19508193,53637472.66312457,535.8482899385241
1459,216,5.5,148,196,,active,32838455.251662422,2571772.536128832,29569346.04453309,467.59500656887855
1460,180,100.0,148,172,148.0,withdrawn,-4147374.1872104853,45063813.912192255,-8802464.318174278,450.63813912192256
1461,67,100.0,148,172,172.0,completed,78185794.93775791,8928904.982074158,71233620.03090759,89.28904982074158
1462,222,11.0,148,221,,active,52252670.613951586,1324512.1709080436,55610676.55962449,120.41019735527668
1463,121,9.9,149,186,,active,58883557.57283246,1728520.0331402882,59186656.823125266,174.59798314548365
1464,245,4.0,149,173,173.0,completed,25704548.39013195,1328164.9159334195,20169495.37824102,332.04122898335487
1465,12,63.0,149,207,149.0,withdrawn,-14762153.996563764,26487396.649284013,-10265466.999509867,420.43486744895256
1466,226,300.0,149,173,149.0,withdrawn,28316469.591678485,48729099.568057574,28226796.7460548,162.43033189352525
1467,67,4.0,149,244,,active,70410009.11597733,357156.1992829663,71233620.03090759,89.28904982074158
1468,9,19.95,149,208,150.0,withdrawn,18488966.873858623,10372293.503904158,17161150.465741124,519.9144613485794
1469,139,20.0,149,173,151.0,withdrawn,20543206.629976425,2092487.989812917,21832115.201344796,104.62439949064586
1470,335,30.0,149,173,173.0,completed,76948022.5275844,10070622.757058822,72909216.16813341,335.68742523529403
1471,198,18.0,150,197,150.0,withdrawn,31456183.879746616,3178673.5926063755,29898262.12378913,176.59297736702086
1472,162,50.0,150,180,166.0,withdrawn,6440898.427122801,4637230.01186335,6825302.2449784065,92.74460023726701
1473,250,18.8,150,174,174.0,completed,66693247.13079885,2195026.0964428796,71679531.26772606,116.7567072576
1474,33,110.0,150,180,,active,48781692.06061459,17052906.273445845,49263425.903462134,155.0264206676895
1475,372,1.2,150,174,174.0,completed,40287769.506160244,272345.0363818842,35735589.38962432,226.95419698490352
1476,5,160.0,150,174,150.0,withdrawn,37871012.90765856,71680645.83329257,42437776.77963887,448.00403645807853
1477,21,10.0,150,174,174.0,completed,53433558.35191357,3226505.497753582,48098773.85481677,322.6505497753582
1478,337,100.0,150,209,,active,49128474.67637474,15208848.845319021,55998065.12831995,152.08848845319022
1479,260,12.0,150,218,,active,60398239.61720557,865347.0039086195,59713831.06163288,72.11225032571829
1480,166,2.7,150,188,153.0,withdrawn,-5447122.317584741,1292998.351581342,-2868869.3948384835,478.88827836346
1481,95,6.8,150,228,150.0,withdrawn,10661539.401064366,740873.9684876461,10866220.129780913,108.95205418935971
1482,207,200.0,150,179,150.0,withdrawn,93534643.94001524,71128073.66196285,90743296.03523871,355.6403683098143
1483,268,10.0,150,218,,active,38291296.120202266,5613813.766171214,34664605.326879784,561.3813766171214
1484,67,109.9,150,206,,active,76227713.10283583,9812866.5752995,71233620.03090759,89.28904982074158
1485,331,20.0,150,211,151.0,withdrawn,4683867.937106986,6542637.081373704,11014306.171453299,327.1318540686852
1486,125,30.0,151,175,175.0,completed,52363953.62196955,5778908.0753740845,53550722.57448727,192.63026917913615
1487,373,500.0,151,190,151.0,withdrawn,63717950.288961306,78844585.8888119,60719522.99363773,157.68917177762378
1488,10,50.4,151,215,151.0,withdrawn,-36746481.33909696,5177887.946294365,-31292708.372980047,102.73587195028503
1489,22,1.04,151,175,175.0,completed,45882906.79126509,373567.10006278456,53217855.851858646,359.19913467575435
1490,358,150.0,151,175,151.0,withdrawn,15435308.138378227,19377958.9647893,14585622.313610626,129.18639309859535
