regime,seed,total_wd,total_deposited,total_absorbed,pool_residual,diff_k1,diff_k2,diff_k3,diff_k4,diff_k5,diff_k6,diff_k7,diff_k8
OFF,122,4330,0.0,0.0,0.0,0.028414630932616543,0.05888278388278389,-0.007142857142857145,0.011396011396011398,-0.0002586472052120911,0.002720318896789484,-0.003036437246963562,-0.003676470588235294
OFF,123,4391,0.0,0.0,0.0,0.06675238401371478,0.051104924906347736,0.012055197762164967,0.009778544722461893,0.000205907974974261,0.006960707780379912,-0.00200736032117765,0.00546448087431694
OFF,124,4406,0.0,0.0,0.0,0.04885581456474956,0.06594917349993491,0.03962908981253456,0.011039377063722836,0.006895093062605754,0.0045617597292724205,-0.0029918474080910615,0.005076142131979695
OFF,125,4575,0.0,0.0,0.0,0.05299119344063165,-0.0006624271330153697,-0.0032005689900426668,-0.008083976833976832,0.0049797503925944325,0.003982930298719774,0.0021696007934540046,-0.014150943396226415
OFF,126,4490,0.0,0.0,0.0,0.06898305084745762,0.03886363636363635,0.027551622418879054,-0.0027702702702702697,0.01172566371681416,0.005726495726495726,0.0019354838709677424,0.005
OFF,127,4484,0.0,0.0,0.0,0.04910656270305395,0.010510071474983756,0.01666666666666667,0.009681611435997398,0.005502392344497609,-0.0032351521004345737,-0.004132231404958678,-0.015
OFF,128,4328,0.0,0.0,0.0,0.04114187002536517,0.026040992448759438,-0.004736924522392744,-0.020915737744216706,-0.004706230912986005,-0.004494129875038387,-0.002885464050512593,0.00834420132347969
OFF,129,4418,0.0,0.0,0.0,0.008622084896637967,0.08135927805978567,0.031089393867514272,0.0036118703631393967,0.01514992935266105,-0.0033984341392067456,0.0038407978078253448,0.0005306875865251498
OFF,130,4439,0.0,0.0,0.0,0.043094160741219564,0.02125602101882937,0.014866602378656377,0.04991267762165595,-0.000802030213794918,-0.014753720087346073,0.009337372497890944,0.006787330316742082
OFF,131,4428,0.0,0.0,0.0,0.02319376026272578,-0.010108233133817111,0.02816548075168765,0.03931132029459103,0.017580331721426312,-0.0034072249589490967,0.0007613076578593825,0.008041766662456318
OFF,132,4307,0.0,0.0,0.0,0.03860839427849737,0.045029835637603564,0.005552136226086066,-0.0021771146827175535,-0.011397872240267382,0.001834702079329023,-0.0037752286917380577,-0.0031909671084928808
OFF,133,4405,0.0,0.0,0.0,0.014046095800524933,-0.010184204331450099,0.03349424119241192,0.02734375,-0.0036458333333333325,0.03132891414141414,0.013020833333333334,0.010739087301587302
OFF,134,4254,0.0,0.0,0.0,0.08952921270030854,0.03498081339134639,0.02005845254576219,0.018260011280315847,0.018976232269082974,-0.007062146892655366,0.0006901772196989935,-7.849704327803683e-05
OFF,135,4305,0.0,0.0,0.0,0.04007059067787812,0.07067718606180144,-0.014140739326843538,0.017154334726670648,-0.0005303114882215035,0.014409379793995179,-0.007240734973528495,0.0
OFF,136,4455,0.0,0.0,0.0,0.0467650531286895,0.0333075933075933,0.022892416225749564,0.014960317460317459,0.0010582010582010585,-0.0017932217932217923,0.0014407814407814403,0.005714285714285714
OFF,137,4609,0.0,0.0,0.0,0.08075341891098246,0.024025581194365223,0.0364569623585154,0.0052558615305930215,-0.005053308355882422,0.0071742652163850965,-0.0014259787399533309,-0.002166090207176047
OFF,138,4441,0.0,0.0,0.0,0.02142338416848221,0.0066964285714285685,0.01481038151694786,0.015941500567169017,-0.0029034690799396683,0.005060088551549656,0.00377486761127809,-0.008753501400560224
OFF,139,4397,0.0,0.0,0.0,0.049530516431924895,0.046284007962840074,0.027380952380952384,0.013462873004857736,0.007209680699613582,0.014795918367346941,0.00179163901791639,-0.0019696969696969685
OFF,140,4412,0.0,0.0,0.0,0.09178961683824344,-0.0036248861121957604,0.027010664555488284,-0.0026428881601605198,0.0024203634223497385,-0.005943141614576777,0.010998307952622672,-0.005932203389830508
OFF,141,4383,0.0,0.0,0.0,0.02185859949017844,0.044736842105263165,-0.004123447304392368,0.004089360090874669,-0.005241409308394954,0.0007612005219660711,0.010526315789473684,0.0
OFF,142,4523,0.0,0.0,0.0,0.0824476650563607,0.03449074074074074,0.022111111111111113,0.024665831244778613,0.008333333333333333,-0.007156308851224106,0.008444444444444445,0.005555555555555556
OFF,143,4378,0.0,0.0,0.0,0.07281700471998981,0.056186012088318735,0.015888300433317293,-0.016728855721393036,0.010827012478590654,0.002789789370902497,-0.020061728395061727,0.0016747943451061527
OFF,144,4410,0.0,0.0,0.0,0.053205049134492824,0.022457739314631332,0.020914928901591336,0.00607104338447622,-0.010550694801852804,-0.007935673743956274,0.011194029850746268,-0.003875968992248062
OFF,145,4452,0.0,0.0,0.0,0.04110223781269048,0.0922396226847082,0.014128642428016282,0.001873737676725256,0.010928535794462459,-0.014814814814814815,-0.008921865692901354,0.004739336492890996
OFF,146,4454,0.0,0.0,0.0,0.09187758264462811,0.004464285714285719,0.034527101769911514,0.006399386304909559,-0.007630813953488372,0.004617471988795519,-0.0040650406504065045,0.0
OFF,147,4366,0.0,0.0,0.0,0.031196544888133663,0.06629523124850228,0.05810095484132411,0.00953378450961435,0.001966650978282792,-0.0025144637294169997,0.0009216925525000561,-0.008439847901777531
OFF,148,4438,0.0,0.0,0.0,0.07752387678235134,0.06319960219217502,0.03796085968897432,0.03321925249891352,0.0020968023763760276,0.032516580692704494,0.008506316257220847,0.007863525263453141
OFF,149,4481,0.0,0.0,0.0,0.06408202816010125,0.03446726043212929,-0.009542266519010703,0.022762508809020435,-0.003537405435696273,-0.01230710715061943,-0.0058527131782945725,0.001006261180679785
OFF,150,4466,0.0,0.0,0.0,0.05357502923740775,0.04878733963854294,0.012937004398581493,0.01346443611636982,0.014662733714143023,0.0030497237569060767,-0.009152296445114123,-0.000578183219838109
OFF,151,4530,0.0,0.0,0.0,0.07147452033338927,0.054176282289883124,0.02522112211221122,0.007438634488448847,0.01485148514851485,-0.012948375129483752,0.006499629554792214,-0.002976190476190476
OFF,152,4414,0.0,0.0,0.0,0.07080200501253134,0.05304984315092367,0.03726163234172387,0.0021004893185344355,0.02649638802889577,0.018240807498197547,-0.002610857853294654,0.002980052871905792
OFF,153,4467,0.0,0.0,0.0,0.04484932061829966,0.013029509757258452,0.008990900024931438,0.01443584490477275,0.0005552911312073621,0.011202301778218009,0.01982886614050168,0.002617801047120419
OFF,154,4459,0.0,0.0,0.0,0.016468253968253965,0.025993601574996916,0.021730914588057443,0.0051203277009728605,0.013310185185185185,-5.628729032984385e-05,0.0029860128870029855,0.0
OFF,155,4347,0.0,0.0,0.0,0.07332549941245595,0.013776276276276284,0.025571725571725573,0.04360807088079815,0.015111204954954957,0.010874031926663507,-0.003968253968253968,0.004043067457701604
OFF,156,4342,0.0,0.0,0.0,0.027898550724637684,0.0007435647847718052,0.0195232962031381,0.017265041721563464,-0.0003531073446327686,0.0,0.012611482720178374,0.005434782608695652
