pair_id,treated_poi,control_poi,event_quarter,treated_depth,control_depth,entity,dominant_type,n_wd_in_event
502,SOCO||greenville pintlala 115 kv line,SOCO||belleville lowman 230 kv line,2021Q4,2,2,SOCO,Solar+Battery,1
503,SOCO||gadsden weiss dam 115 kv line,SOCO||dothan pinckard 115 kv line,2022Q3,1,1,SOCO,Solar+Battery,1
504,PJM||new road 230 kv,PJM||four rivers hanover 230 kv,2020Q2,2,2,PJM,Battery,1
505,"ISO-NE||eversource (cl&p) 345 kv montville, alternatively eversource (cl&p) 345 kv millstone",ISO-NE||115 kv barnstable substation,2020Q1,1,1,ISO-NE,Offshore Wind,1
506,PJM||briery clover 230 kv,PJM||cedar creek 138 kv ii,2018Q4,2,2,PJM,Solar,1
507,CAISO||birds landing substation 230 kv,CAISO||birds landing switching station 230 kv,2012Q1,1,1,CAISO,Wind,1
508,PJM||marysville 345 kv,PJM||halifax person 230 kv,2019Q1,3,3,PJM,Solar,1
509,PJM||blue mound latham,PJM||chestertown millington 69 kv,2016Q1,1,1,PJM,Wind,1
510,PJM||sewaren,PJM||camden richmond 230 kv,2002Q2,1,1,PJM,Gas,1
511,ERCOT||tap 138 kv 8125 lolita 8172 victoria,ERCOT||11189 quarry field switching 1074 wink 138 kv,2022Q1,1,1,ERCOT,Battery,1
512,ERCOT||3413 knob creek 345 kv,ERCOT||13430 sandow switch 138 kv,2024Q1,1,1,ERCOT,Gas,1
513,SOCO||sinai cemetery farley 230 kv line,SOCO||calvert substation west mcintosh 230 kv line,2016Q3,1,1,SOCO,Solar,1
514,PJM||hatfield 500 kv,PJM||burches hill brandywine 230 kv,2016Q4,3,3,PJM,Gas,1
515,CAISO||boulevard substation 138 kv bus,CAISO||antelope cal cement 66 kv,2010Q4,1,1,CAISO,Solar,1
516,PJM||carson rawlings 500 kv,PJM||bear peak east providence ii,2022Q2,1,1,PJM,Solar,1
