pair_id,role,entity_poi,depth,pre_wd_count,mean_mw,mean_q_year,dominant_type,n_types
62,treated,CAISO||colorado river substation 230 kv,4,0,259.75,2011.0,Solar,1
62,control,CAISO||jacobs corner substation 70 kv bus,3,0,20.0,2008.0,Solar,1
63,treated,PJM||hopkins 138 kv,6,0,89.64,2022.0,Solar,2
63,control,PJM||meadow lake 345 kv,6,0,98.5,2021.1666666666667,Solar,3
64,treated,PJM||missouri ave,1,0,110.0,2008.0,Oil,1
64,control,PJM||carlls corner 69 kv,1,0,18.0,,Oil,1
65,treated,CAISO||el dorado 220 kv switchyard,1,0,5.0,2007.0,Solar,1
65,control,CAISO||antelope substation,1,0,250.0,2008.0,Solar,1
66,treated,CAISO||bridgeville substation 115 kv,1,0,97.2,2020.0,Wind+Battery,1
66,control,CAISO||new switchyard to loop the eco miguel 500 kv line,1,0,205.8,2020.0,Wind+Battery,1
67,treated,ISO-NE||cvps 46 kv circuit in springfield area,1,0,30.0,2009.0,Other,1
67,control,ISO-NE||115 kv line near e springfield substation,1,0,36.7000007629394,2008.0,Other,1
68,treated,PJM||earleys 230 kv,1,0,80.0,2014.0,Solar,1
68,control,PJM||anaconda mayo dunbar 115 kv,1,0,80.0,2015.0,Solar,1
69,treated,CAISO||antelope substation 220 kv,2,0,361.5,2018.0,Battery,2
69,control,CAISO||antelope substation 230 kv,2,0,237.2963,2021.0,Battery,1
70,treated,PJM||thompson 115 kv,2,0,85.0,2006.0,Wind,1
70,control,PJM||greenland gap 500 kv,2,0,180.0,2002.5,Wind,1
71,treated,PJM||hughesville 12 kv,1,0,3.0,2022.0,Solar,1
71,control,PJM||allen rp mone 345 kv,1,0,180.0,2021.0,Solar,1
72,treated,PJM||mainesburg 115 kv,1,0,100.0,2020.0,Battery,1
72,control,PJM||allenwood larrabee 34 kv,1,0,7.0,2015.0,Battery,1
73,treated,PJM||fentress 345 kv,1,0,16.7,2017.0,Solar,1
73,control,PJM||antietam 345 kv,1,0,10.0,2016.0,Solar,1
74,treated,SOCO||claxton ludowici primary 115 kv line,1,0,80.0,2018.0,Solar,1
74,control,SOCO||augusta newsprint vogtle switching 230 kv line,1,0,150.0,2019.0,Solar,1
75,treated,PJM||minonk 345 kv,1,0,50.0,2021.0,Battery,1
75,control,PJM||amherst riverville 138 kv,1,0,40.0,2021.0,Battery,1
76,treated,PJM||harmony village 230 kv,3,0,49.333333333333336,2019.6666666666667,Battery,1
76,control,PJM||blue mound 345 kv,3,0,133.33333333333334,2020.0,Battery,2
77,treated,SOCO||county line road gaston 230 kv line,1,1,80.0,2020.0,Solar+Battery,1
77,control,SOCO||anniston weaver (radial) 115 kv line,1,0,80.0,2019.0,Solar+Battery,1
78,treated,SOCO||calvert substation ellicott substation no 2 230 kv line,1,0,80.0,2023.0,Solar+Battery,1
78,control,SOCO||burkville substation hunter station substation 115 kv line,1,0,80.0,2023.0,Solar+Battery,1
79,treated,SOCO||greene county octagon 115 kv line,1,0,80.0,2016.0,Solar,1
79,control,SOCO||aultman road perry 115 kv line,1,0,49.9,2016.0,Solar,1
80,treated,PJM||keeney steele 230 kv,1,0,202.0,2016.0,Solar,1
80,control,PJM||allegheny 115 kv,1,0,85.0,2019.0,Solar,1
81,treated,PJM||hillsboro 138 kv,4,1,108.5,2016.75,Solar,1
81,control,PJM||brink trego 115 kv,3,0,19.866666666666667,2015.3333333333333,Solar,1
82,treated,ERCOT||8601 cebolla 345 kv,2,0,150.0,2022.0,Battery,1
82,control,ERCOT||#6564 illn4a 138 kv,2,0,77.05000000000001,2023.0,Battery,2
83,treated,PJM||powhatan 345 kv,2,0,17.5,2019.0,Solar,2
83,control,PJM||amsden fremont center 69 kv,2,0,79.0,2021.0,Solar,1
84,treated,SOCO||plant wansley substation 500 kv bus,4,0,603.5,2023.5,Gas,3
84,control,SOCO||yates 6 & 7 substation 230 kv bus,3,0,548.0,2023.0,Gas,1
85,treated,PJM||parlin 230 kv,1,0,114.0,,Gas,1
85,control,PJM||bethesda (substation 6),1,0,2.0,2002.0,Gas,1
86,treated,PJM||montour 230 kv,10,0,38.9964,2021.4,Solar,1
86,control,PJM||harmony village shackleford 115 kv,11,0,35.53636363636363,2018.6363636363637,Solar,1
87,treated,CAISO||coolwater substation 115 kv,1,0,113.5,2016.0,Battery,1
87,control,CAISO||antelope 220 kv bus,1,0,412.0,2015.0,Battery,1
88,treated,ERCOT||tap 345 kv 76002 bakersfield 76000 nmccamey,1,0,255.0,2017.0,Solar,1
88,control,ERCOT||11083 riverton 138 kv,1,0,100.0,2013.0,Solar,1
89,treated,PJM||geneva 115 kv,2,0,97.0,2020.5,Solar,2
89,control,PJM||bartonsville meadow brook 138 kv,2,0,40.0,2019.0,Solar,1
90,treated,PJM||olive reynolds #2 345 kv,3,0,186.66666666666666,2020.0,Solar,1
90,control,PJM||allen 345 kv,3,0,83.33333333333333,2020.0,Solar,2
91,treated,SOCO||east chelsea lay dam 115 kv line,1,0,150.0,2018.0,Solar,1
91,control,SOCO||achord road dirt road 115 kv line,1,0,150.0,2022.0,Solar,1
92,treated,CAISO||gates midway 230 kv line,1,0,500.0,2019.0,Solar+Battery,1
92,control,CAISO||arco midway 230 kv line,1,0,312.96,2020.0,Solar+Battery,1
93,treated,PJM||bakers pond ivor 115 kv,1,0,68.0,2017.0,Solar,1
93,control,PJM||arnold's corner 345 kv,1,0,18.0,2016.0,Solar,1
94,treated,CAISO||gates substation 230 kv,3,0,140.0,2014.0,Solar+Battery,3
